user_id,created_at,location,favorite_count,retweet_count,text
ElleAniah,Tue Nov 29 01:11:22 +0000 2016,,0,0,Need my black boots 🙄 I have to stop leaving my stuff at people's houses.
Ahhmeddwaeell,Tue Nov 29 01:11:22 +0000 2016,,0,0,"اللهم صل وسلم على نبينا محمد
♻️ https://t.co/LhQYktONDy"
Tatum114,Tue Nov 29 01:11:22 +0000 2016,,0,0,RT @Harrison_TN: What. Does. This. Have. To. Do. With. Skin. Color. https://t.co/ktsJ7ys885
iamsencera,Tue Nov 29 01:11:22 +0000 2016,,0,0,14. If you're gay we should be friends 🙃😭
Radio_Raheem8,Tue Nov 29 01:11:22 +0000 2016,,0,0,"RT @Complex: Kodak Black is out of jail in Florida, but still faces charges in SC. https://t.co/tvPrOSzvj8 https://t.co/lvwATtMK5h"
sIutbiebs,Tue Nov 29 01:11:22 +0000 2016,Latina |klv,0,0,RT @IustfuIbieber: when sorry finishes and justin says his final words and the set goes black https://t.co/xEAz1ITc4p
suwlfofe4,Tue Nov 29 01:11:22 +0000 2016,,0,0,white boy loving black cock https://t.co/UlOtlZOcXi
romulogaloucura,Tue Nov 29 01:11:22 +0000 2016,"Betim, Brasil",0,0,@lewandowszki @atltcr7 @maria_alicx @crrzeiro @strangerthinsgs kkk ❤
MusicSexArt,Tue Nov 29 01:11:22 +0000 2016,,0,0,FOLLOW ME #MusicSexArt #gays #gay #bi #gaylove #gayboy #gayboys #biboy #biboys https://t.co/1YmGS9bJuB
handymayhem,Tue Nov 29 01:11:22 +0000 2016,,0,0,"RT @KOLABOOF2: MIDNIGHT...

EGYPT...

Arab couples drown Black babies for being born ""too dark""...exposing THEIR lineage.

@ballajd @handym…"
giveawaynobble,Tue Nov 29 01:11:22 +0000 2016,United States,0,0,Hiii Leather Face (GxdGOD) https://t.co/48HwNAYV9s
_biamenezes,Tue Nov 29 01:11:22 +0000 2016,021,0,0,"@luizcauehnunes por incrível que pareça dessa vez não tô reclamando, só tô constatando kkk"
Flippintheraya,Tue Nov 29 01:11:22 +0000 2016,,0,0,"#HowToBeAnAlly? 
#IAm fighting #Muslim stereotypes
NOT all #Sunni actively participate in #ShiaGenocide… https://t.co/Rm8sMpneS9"
_always_silly,Tue Nov 29 01:11:22 +0000 2016,❤,0,0,RT @africanhateyou: This question is as stupid as you are. https://t.co/W6lDrcvE1g
__FinesseKid,Tue Nov 29 01:11:22 +0000 2016,"Miami ✈ Jackson, MS",0,0,Like whatchu gotta keep readding me for to check how I'm looking....YES I STILL LOOK BETTER THAN YO UGLY BLACK SKINNY ASS ! 😭
ruslans93780348,Tue Nov 29 01:11:22 +0000 2016,,0,0,#painter porn erotic nude black women https://t.co/9UhVg7DjKH
RicGator,Tue Nov 29 01:11:22 +0000 2016,"Orlando (FL, United States)",0,0,Hillary Clinton rumored to be considering another go at the White House in 2020 https://t.co/V5aZSw3kxL #ROFL
takinyera,Tue Nov 29 01:11:22 +0000 2016,"Chicago, IL",0,0,RT @Crystal1Johnson: 2015-2016 Academic year enrolled the highest number of African-American medical students in history! https://t.co/I1Wp…
